title,tags
looop lapeta,when her boyfriend lose a mobster s cash savi race against the clock to save the day if onli she can break out of a curious cycl of dead end action comedi crime remak loooplapeta saadesaati taapseepannu tahirrajbhasin shreyadhanwanthari dibyendubhattacharya rajendrachawla savi satya julia victor mamleshcharanchaddha tomtykw mukeshchhabra
sooryavanshi,a fearless faith albeit slight forget mumbai cop veer sooryavanshi the chief of the anti terror squad in india pull out all the stop and stunt to thwart a major conspiraci to attack his citi action crime thriller polic sequel policeoffic copunivers akshaykumar katrinakaif ajaydevgn ranveersingh jackieshroff veersooryavanshi riasooryavanshi bajiraosingham sangram simmba bhalerao omarhafeez rohitshetti karanjohar
pathaan,a soldier caught by enemi and presum dead come back to complet his mission accompani by old companion and foe action adventur thriller spi fakedeath spythril spyunivers yrfspyunivers shahrukhkhan deepikapadukon johnabraham dimplekapadia ashutoshrana pathaan rubinamohsin jim nandini colonelsunilluthra siddharthanand adityachopra
chor nikal ke bhaga,a flight attend and her boyfriend must steal a cach of diamond to clear an old debt but the plan spin into a mayhem when the plane get hijack crime thriller heist airplanehijack yamigautam sunnykaush sharadkelkar indraneilsengupta barunchanda nehagrov ankitsethi parvezshaikh sudhanshuroy homeministerharishsany ajaysingh dineshvijan
3 idiots,rascal joker dreamer genius you ve never met a colleg student quit like rancho from the moment he arriv at india s most prestigi univers rancho s outlandish scheme turn the campus upsid down along with the live of his two newfound best friend togeth they make life miser for virus the school s uptight and heartless dean but when rancho catch the eye of the dean s sexi daughter virus set his sight on flunk out the 3 idiot onc and for all drama comedi suicid suicideattempt colleg music slapstickcomedi friend engin comingofag subjectivecamera aamirkhan r madhavan sharmanjoshi kareenakapoorkhan bomanirani rancho farhanqureshi rajurastogi pia viru virus sahastrabudhh vinaywaikul rahulnanda
my name is khan,rizwan khan a muslim from the borivali section of mumbai has asperg s syndrom he marri a hindu singl mother mandira in san francisco after 9 11 rizwan is detain by author at lax who treat him as a terrorist becaus of his condit and his race drama romanc autism mumbai bombay india basedontruestori prejudic religion disabl asperg ssyndrom asianamerican shahrukhkhan kajol jimmyshergil zarinawahab adarshgourav rizwankhan mandira rizwan sbrother rizwan smother rizwan 15yearsold karanmalhotra karanjohar
dilwale dulhania le jayenge,raj is a rich carefre happi go lucki second generat nri simran is the daughter of chaudhari baldev singh who in spite of be an nri is veri strict about adher to indian valu simran has left for india to be marri to her childhood fiancé raj leav for india with a mission at his hand to claim his ladi love under the nose of her whole famili thus begin a saga comedi drama romanc famili sdailylif familyhistori love haterelationship familydrama loveaffair shahrukhkhan kajol amrishpuri anupamkh satishshah rajmalhotra simransingh chaudhrybaldevsingh dharamvirmalhotra ajitsingh yashchopra adityachopra
dhamaka,when a cynic ex tv news anchor get an alarm call on his radio show he see a chanc for a career comeback but it may cost his conscienc thriller drama crime remak kartikaaryan amrutasubhash mrunalthakur sohammajumdar vikaskumar arjunpathak ankitamalaskar saumyamehrapathak raghubeermhata anandmhata praveenkamath rammadhvani ronniescrewvala
brahmāstra part one: shiva,the stori of shiva a young man on the brink of an epic love with a girl name isha but their world is turn upsid down when shiva learn that he has a mysteri connect to the brahmāstra and a great power within him that he doesn t understand just yet the power of fire action adventur fantasi mytholog superhero astravers ranbirkapoor aliabhatt mouniroy amitabhbachchan nagarjunaakkineni shiva ishachatterje junoon guru artist anishshetti s s rajamouli karanjohar
andhadhun,a seri of mysteri event chang the life of a blind pianist who now must report a crime that was actual never wit by him crime thriller comedi pianist blindman piano ayushmannkhurrana radhikaapt tabu anildhawan rashmiagdekar akash sophi simisinha pramodsinha daani sriramraghavan sanjayroutray
om shanti om,reincarn 30 year after be kill in a suspici on set fire a small time actor is determin to punish the person who ignit the blaze comedi thriller drama 1970s music reincarn psychopath sociopath reveng betray disco predatorturnsvictim unlikelylov womandirector desireforfam 2000s crossov shahrukhkhan deepikapadukon arjunramp shreyastalpad kirronkh omprakashmakhija omkapoor shantipriya sandi mukesh mike mehra pappumast belamakhija joyeetachatterje sanjivchawla
blood money,in south africa a young man live with his wife becom embroil in an illeg diamond busi and with time find his life chang drama action thriller kunalkhemu amritapuri manishchoudhari miauyeda kunalkadam arzoo dharmeshzaveri rajanzakaria rosa mukeshbhatt
kabhi khushi kabhie gham,year after his father disown his adopt brother for marri a woman of lower social stand a young man goe on a mission to reunit his famili comedi drama london england parentchildrelationship delhi india adopt forbiddenlov reunion classdiffer familyconflict amitabhbachchan jayabachchan shahrukhkhan kajol hrithikroshan yashvardhan yash raichand nandinichandranraichand rahulraichand anjalisharmaraichand rohanraichand nikkhiladvani karanjohar
dhoom 3,to aveng his father s death a circus entertain train in magic and acrobat turn thief to take down a corrupt bank in chicago two cop from mumbai are assign to the case action crime thriller circus bankrobb sequel heist bankheist motorcyclechas aamirkhan abhishekbachchan katrinakaif udaychopra jackieshroff sahir samar a c p jaidixit aaliya ali iqbalkhan sonaljoshi adityachopra
gumraah,a murder investig becom complic after the cop discov a pair of lookalik suspect action crime thriller remak basedonmovi adityaroykapur mrunalthakur ronitroy vedikapinto bhushankumar
dangal,dangal is an extraordinari true stori base on the life of mahavir singh and his two daughter geeta and babita phogat the film trace the inspir journey of a father who train his daughter to becom world class wrestler drama famili comedi action parentchildrelationship smalltown femin empower strongwoman train biographi wrestl sport autobiographi domesticabus fight womanhood endur womanvswomanfight femaleempower determin strengthtrain abusivefath overcomingfear fatherdaughterrelationship aamirkhan fatimasanashaikh sanyamalhotra sakshitanwar aparshaktikhurana mahavirsinghphogat geetaphogat babitakumari dayakaur omkar kiranrao
kites,a wound man search for his sweetheart in the mexican desert while on the run from the polic bounti hunter and other drama action romanc danc interracialrom fugit tragicev desert danceinstructor hrithikroshan bárbaramori kabirbedi kanganaranaut nicholasbrown jaisinghania natasha linda bobgrov gina specialappear tonygrov anuragbasu angeliquemidthund
commando 2 -  the black money trail,india s most want black money agent vicki chaddha get arrest in malaysia and is kept in a safe hous by the malaysian author along with his wife a team of four is be sent to malaysia to bring them to india apart from the growth of inter person relationship the mission has quit a few twist and turn on it way the stori follow karan as he use his brain and brawn to recov all of the launder black money action thriller moneylaund specialag vidyutjammw adahsharma freddydaruwala suhailnayyar thakuranoopsingh captainkaranvirsinghdogra bhavnareddi bakhtawar dishank vickychaddha vipulamrutlalshah
kabhi alvida naa kehna,dev and maya are both marri to differ peopl settl into a life of domest ritual and convinc that they are happi in their respect relationship they still yearn for someth deeper and more meaning which is precis what they find in each other drama romanc adulteri extramaritalaffair shahrukhkhan ranimukerji preityzinta abhishekbachchan amitabhbachchan devsaran mayatalwar riyasaran rishitalwar samarjit sam talwar tarunmansukhani karanjohar
like stars on earth,ishaan awasthi is an eight year old whose world is fill with wonder that no one els seem to appreci colour fish dog and kite don t seem import to the adult who are much more interest in thing like homework mark and neat ishaan cannot seem to get anyth right in class he is then sent to board school where his life chang forev drama painter jealousi parentchildrelationship father boardingschool dyslexia littleboy teacher india childhood teachersandstud darsheelsafari aamirkhan tiscachopra vipinsharma tanaychheda ishaannandkishoreawasthi ramshankarnikumbh mayaawasthi nandkishoreawasthi rajandamodaran advaitchandan kiranrao
drive,a getaway driver is attract to a femal neighbor whose husband owe money to a local gangster as a result he is drawn deeper into a danger underworld action thriller basedonnovelorbook sushantsinghrajput jacquelinefernandez bomanirani pankajtripathi sapnapabbi samar tara irfan hamid naina tarunmansukhani karanjohar
kuch kuch hota hai,per her mother s last wish an 8 year old girl set out to reunit her father with his colleg best friend who was in love with him romanc drama soulmat friendshipbracelet love fallinginlov unhappi childhoodfriend shahrukhkhan kajol ranimukerji salmankhan faridajal rahulkhanna anjalisharma tinamalhotra amanmehra mrs khanna nikkhiladvani karanjohar
bodyguard,love singh is extrem respect of mr rana and his daughter divya while appoint as divya s bodyguard he fall in love with a girl he has never met unawar that she is none other than divya drama action romanc lie diari colleg remak train railroad salmankhan kareenakapoorkhan maheshmanjrekar rajbabbar asrani lovelyb singh divya rana ranjanmhatr sartajrana shekhar siddiqu vickysidana
junglee,a vet return home to his father s eleph reserv where he encount and fight an intern poacher s racket action adventur eleph poacher jungl veterinari vidyutjammw poojasaw ashabhat atulkulkarni makranddeshpand raj shankara meera guruji chuckrussel yogendramogr
